Geneid	S4199_001_1_BER_CK_1	S4199_002_2_BER_CM_1	S4199_003_3_40_CK_2	S4199_004_4_40_CM_2	S4199_005_5_41_CK_3	S4199_006_6_41_CM_3	S4199_007_7_24_CK_4	S4199_008_8_24_CM_4	S4199_009_9_BER_AK_5	S4199_010_10_BER_AM5	S4199_011_11_BER_CK5	S4199_012_12_BER_CM5	S4199_013_13_BER_CK6	S4199_014_14_BER_CM6	S4199_015_15_2_CM_7U	S4199_017_17_8_CK_7	S4199_018_18_8_CM_7	S4199_019_19_2_CK_7U
DHA2_151240	6732	6999	5282	6288	4666	6010	4444	4302	5501	6166	4913	7848	6019	7803	6748	3459	6029	4993
DHA2_104248	4556	3995	3002	3001	3192	3612	2906	2293	3615	3011	3247	4402	4373	4804	4588	3546	4575	3543
DHA2_151241	801	789	644	854	741	1087	789	802	917	951	780	1122	920	962	1128	716	813	904
DHA2_151242	6357	5203	3670	3779	4051	4062	2991	2947	4788	2827	4301	5230	4829	5174	3498	3488	3431	3927
DHA2_151243	5114	2663	2918	4253	2223	2480	2146	1927	3581	2044	3181	3073	3777	2860	2175	3404	3519	3110
DHA2_151244	2700	9455	13663	24591	4487	7474	2472	3629	1898	11242	1819	6585	1725	2537	5738	1980	11047	2580
DHA2_151245	1916	2884	2253	4077	1224	2810	1412	1757	1873	2298	1730	3471	1825	1786	1833	1564	3984	1966
DHA2_151246	1720	2277	2077	2503	1478	2195	1500	1389	1616	1589	1401	2585	1436	1652	1702	1269	2835	1525
DHA2_151247	14119	16543	16545	19423	11719	16500	13837	12312	14942	16826	13234	20255	13022	13583	13458	13935	25884	13006
DHA2_151248	10929	7243	6429	5254	7900	5942	7902	5276	10418	5492	9039	8929	9662	8355	6732	5283	4971	10548
DHA2_151249	15314	11763	14724	15382	11281	11433	13021	10073	14493	12361	13099	15064	12389	12269	15219	7428	12987	16123
DHA2_16867	126418	108450	151464	152747	83265	90540	83547	83856	94639	98806	83068	111140	91905	98109	74326	93709	125651	90193
DHA2_151250	7151	6507	9504	7857	6943	6057	5709	4634	6139	4398	5936	6839	6029	5937	5696	7853	9004	7020
