group	lib.size	norm.factors	eff.lib.size
X1_BER_CK_1	70900291	1.0063353181478	71349466.9002568
X3_40_CK_2	57286734	0.945965013498602	54191246.1016008
X5_41_CK_3	48778947	0.988580516951832	48221916.641626
X7_24_CK_4	52761784	1.02957567168063	54322249.2008685
X11_BER_CK5	52508559	1.02635969785713	53892668.7501535
X13_BER_CK6	61160223	0.99558249074011	60890047.1485605
X17_8_CK_7	55378357	1.01096137736991	55985380.0692023
X19_2_CK_7U	58199297	1.02855381665117	59861109.055765
X2_BER_CM_1	58500000	0.982597420188899	57481949.0810506
X4_40_CM_2	56862824	0.845584466758495	48082320.7104221
X6_41_CM_3	50981676	1.0105325148826	51518641.2612097
X8_24_CM_4	47247635	1.0330730068833	48810256.3575746
X12_BER_CM5	64800866	1.03195771245984	66871753.4427765
X14_BER_CM6	62700568	1.04753713095438	65681173.1119303
X15_2_CM_7U	57682297	1.0459007876998	60329959.8686339
X18_8_CM_7	65711476	0.990461794991048	65084706.4704712
