1_BER_CK_1	3_40_CK_2	5_41_CK_3	7_24_CK_4	11_BER_CK5	13_BER_CK6	17_8_CK_7	19_2_CK_7U	2_BER_CM_1	4_40_CM_2	6_41_CM_3	8_24_CM_4	12_BER_CM5	14_BER_CM6	15_2_CM_7U	18_8_CM_7
1_BER_CK_1	1	-0.605604236841709	0.193294615394159	0.722029216281319	0.914421417179461	0.95584988540564	0.846032841531882	0.827242554188058	-0.458951260757413	-0.923351299325238	-0.919753864694284	-0.55609384333729	-0.416458995542584	0.311621283847618	-0.692313249587164	-0.774532397352945
3_40_CK_2	-0.605604236841709	1	0.39386494173011	-0.492341205233799	-0.554820544578281	-0.584529151338204	-0.700962335136782	-0.625852754885864	0.00459980233274965	0.731794760923478	0.658004493126335	0.196297843880827	-0.00463687441737957	-0.574087774782181	0.00262774350570804	0.274888923979637
5_41_CK_3	0.193294615394159	0.39386494173011	1	0.227295726249361	0.22359160847781	0.237178985885276	0.13056564622811	0.286669384558007	-0.64692172016195	-0.0692765439042259	-0.0497978948198261	-0.380691698094125	-0.62917331955338	-0.511808715855869	-0.61992186161895	-0.482158836240485
7_24_CK_4	0.722029216281319	-0.492341205233799	0.227295726249361	1	0.681018773720226	0.72468086607475	0.689010098711713	0.809811854673295	-0.60927393383917	-0.767795348755482	-0.76432907115017	-0.178803936125349	-0.552608117968483	0.0819863160135702	-0.509465155837792	-0.709042175333681
11_BER_CK5	0.914421417179461	-0.554820544578281	0.22359160847781	0.681018773720226	1	0.945291752492224	0.828262780251183	0.838420799199505	-0.561188003202397	-0.891481350539826	-0.901838580322086	-0.588329297937249	-0.402789932534937	0.257255218783827	-0.711716691533067	-0.754625311927227
13_BER_CK6	0.95584988540564	-0.584529151338204	0.237178985885276	0.72468086607475	0.945291752492224	1	0.865187992048584	0.85179061257209	-0.563637595917726	-0.896900036878907	-0.889693967433698	-0.626455002213433	-0.493083540599473	0.277196728261883	-0.728892635214443	-0.773560242364958
17_8_CK_7	0.846032841531882	-0.700962335136782	0.13056564622811	0.689010098711713	0.828262780251183	0.865187992048584	1	0.849533817444873	-0.52527527830108	-0.850841236515329	-0.842740567310821	-0.541244590249229	-0.50639349394979	0.224197173437067	-0.519652564849051	-0.619326686726028
19_2_CK_7U	0.827242554188058	-0.625852754885864	0.286669384558007	0.809811854673295	0.838420799199505	0.85179061257209	0.849533817444873	1	-0.673936749451944	-0.821699083237486	-0.846899365111719	-0.509614775434393	-0.609279638521816	0.0799271684774945	-0.553120715444551	-0.703039011576093
2_BER_CM_1	-0.458951260757413	0.00459980233274965	-0.64692172016195	-0.60927393383917	-0.561188003202397	-0.563637595917726	-0.52527527830108	-0.673936749451944	1	0.368818880498037	0.432488349606186	0.379560657910968	0.871741719322748	0.394473408489216	0.594283354889247	0.568530787493342
4_40_CM_2	-0.923351299325238	0.731794760923478	-0.0692765439042259	-0.767795348755482	-0.891481350539826	-0.896900036878907	-0.850841236515329	-0.821699083237486	0.368818880498037	1	0.91900315494643	0.384871377509203	0.270566604151724	-0.49269469286494	0.549847184428225	0.745251846120614
6_41_CM_3	-0.919753864694284	0.658004493126335	-0.0497978948198261	-0.76432907115017	-0.901838580322086	-0.889693967433698	-0.842740567310821	-0.846899365111719	0.432488349606186	0.91900315494643	1	0.469532817536825	0.344495191484429	-0.328538953103996	0.533017591416552	0.66116520688931
8_24_CM_4	-0.55609384333729	0.196297843880827	-0.380691698094125	-0.178803936125349	-0.588329297937249	-0.626455002213433	-0.541244590249229	-0.509614775434393	0.379560657910968	0.384871377509203	0.469532817536825	1	0.39788133672005	0.141673727976962	0.54312911856132	0.256481233087595
12_BER_CM5	-0.416458995542584	-0.00463687441737957	-0.62917331955338	-0.552608117968483	-0.402789932534937	-0.493083540599473	-0.50639349394979	-0.609279638521816	0.871741719322748	0.270566604151724	0.344495191484429	0.39788133672005	1	0.470577612155651	0.468057963851338	0.482641588183515
14_BER_CM6	0.311621283847618	-0.574087774782181	-0.511808715855869	0.0819863160135702	0.257255218783827	0.277196728261883	0.224197173437067	0.0799271684774945	0.394473408489216	-0.49269469286494	-0.328538953103996	0.141673727976962	0.470577612155651	1	0.0627941295926143	-0.222724165577379
15_2_CM_7U	-0.692313249587164	0.00262774350570804	-0.61992186161895	-0.509465155837792	-0.711716691533067	-0.728892635214443	-0.519652564849051	-0.553120715444551	0.594283354889247	0.549847184428225	0.533017591416552	0.54312911856132	0.468057963851338	0.0627941295926143	1	0.743473554355922
18_8_CM_7	-0.774532397352945	0.274888923979637	-0.482158836240485	-0.709042175333681	-0.754625311927227	-0.773560242364958	-0.619326686726028	-0.703039011576093	0.568530787493342	0.745251846120614	0.66116520688931	0.256481233087595	0.482641588183515	-0.222724165577379	0.743473554355922	1
