Geneid,2_CK_7U,2_CM_7U,24_CK_4,24_CM_4,40_CK_2,40_CM_2,41_CK_3,41_CM_3,8_CK_7,8_CM_7,BER_CK_1,BER_CK5,BER_CK6,BER_CM_1,BER_CM5,BER_CM6
DHA2_10013,7892,14770,6552,6975,9328,13932,7035,9833,6393,13215,8675,6188,7245,10149,10672,10777
DHA2_10016,12249,10873,12642,10291,14927,11716,12940,11354,13361,13826,16907,12395,16452,14032,14936,16961
DHA2_10019,29500,21306,28529,22867,28475,22213,20653,19740,22852,21992,31471,24182,25640,20644,24740,23806
DHA2_10025,847,641,660,619,623,543,563,647,778,722,1072,937,993,689,876,877
DHA2_10027,1819,1179,1008,793,794,681,1220,968,1600,1222,2639,1705,2070,1511,1372,1809
DHA2_10033,4010,4731,4128,3853,4232,3369,4005,4216,3880,5583,6388,4361,4968,6865,6948,6449
DHA2_10034,8501,6871,9479,8112,7098,4348,5966,5650,8868,8543,16959,10931,12880,11005,12683,12106
DHA2_10038,6193,4048,4020,2975,2182,2397,4482,3117,4494,4261,7892,5690,6578,5891,5194,6841
DHA2_10055,3302,3976,2972,2737,3061,3368,2063,1988,3012,4702,3882,2650,3188,3838,3915,3763
DHA2_10056,1277,1424,1319,1265,1312,1040,1047,1102,1246,1593,1590,1203,1151,1465,1740,1586
DHA2_10073,3285,2621,2536,2123,2915,3128,1984,1970,2936,3534,4145,3066,3760,3060,3501,3209
DHA2_100845,3811,5018,3183,3816,4446,4658,2415,3736,3423,5458,4175,3285,3759,4326,5011,4728
DHA2_100864,42018,35020,35067,26909,30420,25593,35261,31449,37324,39379,48126,35865,46470,34667,38939,44288
DHA2_100906,46640,49760,66803,59954,53043,44781,47132,52212,56782,62248,83334,61374,66318,52056,70295,52355
DHA2_10091,34355,25749,33249,19036,33776,24900,29803,24035,32148,30077,38828,27727,36393,28187,28198,32337
DHA2_100955,12360,9504,6182,4290,5169,3836,8847,4467,11949,6859,16690,11471,11777,9417,8682,10582
DHA2_100959,4146,4287,3373,3202,2677,2498,2793,3084,4016,5043,4909,3698,4159,4345,5059,5072
DHA2_101138,33376,28057,38660,30179,25146,15746,26926,22003,40384,35185,60116,42970,49029,29603,43100,32878
DHA2_101168,15811,8058,10954,7724,6431,3767,11366,7223,15294,8665,26372,17068,21792,13190,13446,17751
DHA2_101278,109333,81503,90627,70838,52770,42918,76707,62894,99475,90833,111877,81919,92215,78936,89301,99424
DHA2_101339,10113,9375,8122,7491,10954,12443,9180,9368,7835,13530,9682,6887,7888,10769,9642,10864
DHA2_10137,6770,5711,5992,5536,7021,6305,4625,4821,7150,6298,8777,6385,7370,6356,7336,7762
DHA2_10139,2963,5071,2773,3125,4218,4134,2833,4275,3039,5729,4494,2816,3480,4000,4671,4530
DHA2_10141,1952,2345,1891,1737,2169,2008,1816,2250,2171,3096,2138,1656,1650,2036,2327,2152
DHA2_101501,31355,21868,22780,18659,26539,21610,21614,17187,22423,22475,30855,22979,26671,23401,25251,26231
DHA2_101594,13216,11103,12589,10585,8830,6477,9045,7972,8061,7096,13506,11031,12649,9681,12731,10896
DHA2_10167,125067,101317,83974,68757,57973,60060,85411,71688,100639,74955,147647,105598,130549,79202,99094,116582
DHA2_101768,946,646,798,552,744,513,554,454,794,601,1294,868,1036,670,764,898
DHA2_10181,14961,15868,13597,15377,16349,19378,11105,14820,15173,24170,19647,15358,17175,18820,19858,21015
DHA2_101810,25066,24139,36008,31512,32546,25905,19165,23175,24087,28835,32484,25532,27933,24253,30463,28283
DHA2_10182,848,831,890,888,770,958,601,706,796,1091,785,737,849,604,1072,845
DHA2_101850,3989,5572,4887,4238,5533,5686,4627,5505,4013,5145,4924,3529,4164,5103,5332,5079
DHA2_101906,9108,8632,11165,10141,11488,12926,7713,9482,9083,16379,14710,10610,13070,13432,14374,14684
DHA2_101918,7079,10840,7241,6655,11761,14196,7386,8479,6696,12690,5738,4213,4864,6274,7015,6177
DHA2_101919,3016,3901,2687,2687,2485,3483,2990,3542,3111,4037,3528,2438,2855,2982,3411,3368
DHA2_101943,759,510,433,372,355,401,394,445,607,625,814,652,646,468,530,633
DHA2_101955,10524,6927,8673,6763,7380,4516,8339,6171,10226,7412,14926,10487,11480,8597,9391,10594
DHA2_10196,10363,5324,7769,4203,4861,2111,8349,4830,9342,4826,11186,8627,11004,6334,8387,8757
DHA2_102023,17166,9871,12153,9304,8653,5619,9352,6604,17665,11985,22667,16299,19533,12921,14600,17929
DHA2_102034,20009,13575,14878,11695,12914,10339,12391,10921,15563,13845,21447,16620,21235,14718,16085,19365
